content,score
Saya ingin menambahkan fitur bisa chat otomatis tanpa di chat duluan,3
mantap sekali👌,5
sangat membantu,5
sangat membantu,5
nice,5
"sangat me,bantu dlm pemahaman materi...terima kasih chatgpt",4
aplikasi keren yg sangat berguna,5
sangat berguna,5
sanggat membantu.. trimakasih banyak adh ciptakan aplikasi ini.. semoga sukses terus. amin,5
Membantu,5
keren,5
mantap,5
"bagus banget,sangat membantu untuk mengejarkan tugas sekolah",5
bagus,5
sangat bagus,5
👍,5
bagus memudahkan saya belajar,5
Sangat membantu untuk memberikan saran,5
bagusss aku suka makasih,5
bagus dan cukup membantu,5
Mantap,5
sangat membantu untuk editor,5
saya baru menggunakan chatGPT keliatannya spt punya teman dekat nih,1
mantap bg,5
kren,5
sangat bagus👍😎,4
"Penjelasan yang diberikan oleh Ai sangat lengkap dan sangat jelas serta mudah dimengerti, saya harap bisa lebih baik dari ini.",5
bagus,5
Keren aplikasi ini karena aplikasi ini dapat membantu tugas saya dengan baik,5
good,5
mantap,5
semoga membantu,5
Sangat membantu👍👍👍👍👍,5
asik nih,5
"Rahmat Hidayat"" Luar biasa",5
mantab,5
jawaban yang diberikan benar semua,5
bagus,5
thanks yang buat chat gpt,5
